,o1,o2,>,<,typical
0,hand,olive,111,28,>
1,seat,elephant,139,661,<
2,ski,stripe,303,31,>
3,ladder,giraffe,28,148,<
4,toilet,design,290,69,>
5,shower,sink,473,97,>
6,sign,elephant,166,1213,<
7,forest,patch,112,20,>
8,watch,surf board,8,187,<
9,box,kite,4,101,<
10,stack,building,95,235,<
11,coat,day,4,237,<
12,cat,hole,595,36,>
13,jean,sneaker,1091,150,>
14,pool,frisbee,116,8,>
15,bolt,pair,4,186,<
16,elephant,herd,267,3249,<
17,bear,cake,66,342,<
18,eye,handle,43,184,<
19,orange,statue,50,154,<
20,cap,skateboarding,4,101,<
21,toilet,number,207,0,>
22,tan,cord,104,19,>
23,bicycle,planter,121,19,>
24,guy,cord,257,25,>
25,stone,eye,398,19,>
26,slope,fence,80,30,>
27,tile,column,40,130,<
28,bird,terrain,14,101,<
29,neck,horse,10,200,<
30,sandwich,surface,166,20,>
31,cup,blender,29,228,<
32,cookie,pan,11,111,<
33,pole,vent,85,34,>
34,leaf,costume,8,94,<
35,cat,kite,39,113,<
36,tree,bolt,838,22,>
37,field,truck,376,98,>
38,watch,racket,11,196,<
39,mouth,vest,4,145,<
40,head board,lamp,361,41,>
41,mouth,sheep,4,1881,<
42,window,ski,53,467,<
43,lettering,wave,6,156,<
44,letter,tan,35,395,<
45,bench,garbage,296,49,>
46,hat,ladder,21,171,<
47,skirt,sneaker,139,58,>
48,backpack,letter,495,51,>
49,onion,light,86,35,>
50,phone,bench,255,637,<
51,plane,stripe,3701,534,>
52,cd,keyboard,31,180,<
53,office,window,113,6,>
54,eye,tail,67,781,<
55,paw,puppy,37,276,<
56,rider,hand,123,18,>
57,stain,bench,15,118,<
58,shirt,antenna,102,43,>
59,printer,key,409,3,>
60,rain,hand,121,12,>
61,sink,hinge,104,5,>
62,carpet,paper,309,128,>
63,leg,catcher,84,415,<
64,kid,backpack,266,44,>
65,truck,container,248,79,>
66,container,board,119,410,<
67,cement,letter,135,10,>
68,eye,frame,11,154,<
69,spot,weed,22,215,<
70,tire,gate,11,95,<
71,lawn,dog,465,104,>
72,ramp,leaf,327,37,>
73,potato,dog,28,208,<
74,horse,jockey,2091,856,>
75,bed,cream,176,31,>
76,jacket,bow,81,27,>
77,tie,skin,100,29,>
78,ceiling,bench,130,52,>
79,train,mouth,113,3,>
80,sign,cabin,27,85,<
81,basket,spoon,106,23,>
82,bottle,building,66,241,<
83,animal,bowl,170,15,>
84,cuff,shirt,18,244,<
85,body,pair,142,52,>
86,couch,tile,400,72,>
87,tire,logo,404,123,>
88,face,racket,16,141,<
89,skillet,handle,95,8,>
90,van,step,102,40,>
91,bench,tail,238,18,>
92,zebra,body,211,54,>
93,light,furniture,7,121,<
94,light,jet,51,387,<
95,car,beard,116,26,>
96,goggle,snow boarder,9,167,<
97,apple,shelf,26,101,<
98,crust,pan,31,93,<
99,store,coat,81,31,>
100,scarf,hoodie,29,92,<
101,moon,cow,22,141,<
102,train,ladder,708,75,>
103,basket,pillow,93,248,<
104,object,tv,36,205,<
105,letter,eye glass,24,105,<
106,bear,hill,86,221,<
107,backpack,desk,13,101,<
108,gum,candy,122,19,>
109,toddler,stripe,89,27,>
110,beard,bike,19,109,<
111,logo,blanket,0,108,<
112,vegetation,branch,111,38,>
113,pad,batter,6,99,<
114,fork,tine,228,5,>
115,object,snow,156,427,<
116,shelf,stove,56,192,<
117,speck,pizza,9,104,<
118,sign,air conditioner,365,40,>
119,hand,ear,1650,115,>
120,jacket,cup,950,117,>
121,luggage,window,641,230,>
122,spot,board,20,292,<
123,gate,zebra,109,349,<
124,cat,tooth,321,13,>
125,statue,vehicle,107,40,>
126,bottle,pair,203,546,<
127,racket,wrist band,692,35,>
128,drawer,button,149,11,>
129,letter,dress,23,849,<
130,bed,mirror,1738,272,>
131,stair,jean,183,72,>
132,catcher,name,95,11,>
133,mitt,uniform,8,149,<
134,skater,orange,89,15,>
135,blanket,basket,238,30,>
136,coat,leaf,656,242,>
137,pole,hand,967,341,>
138,hoof,head,38,173,<
139,leaf,mulch,48,311,<
140,divider,window,190,65,>
141,paper,window,385,1116,<
142,orange,dish,100,279,<
143,flower,gate,45,223,<
144,kitchen,kettle,189,3,>
145,basket,sticker,189,22,>
146,frisbee,basket,43,136,<
147,kite,cone,188,52,>
148,phone,pen,304,53,>
149,spectator,hat,1260,127,>
150,sleeve,mouth,91,25,>
151,light,stove,143,625,<
152,stapler,wheel,124,9,>
153,pole,pot,127,51,>
154,blanket,collar,388,10,>
155,display,bag,191,69,>
156,toddler,sock,108,8,>
157,window,pick,27,250,<
158,bicycle,hand,443,108,>
159,bridge,crane,152,13,>
160,t-shirt,bike,50,242,<
161,tan,patch,110,32,>
162,level,number,138,1,>
163,stem,bunch,63,339,<
164,plate,fork,15293,3591,>
165,stair,letter,236,13,>
166,plug,sink,4,110,<
167,lamp,bedspread,35,814,<
168,lamp,window,1362,4251,<
169,goggle,skiing,10,272,<
170,jersey,stripe,149,37,>
171,seed,bowl,6,179,<
172,tusk,trunk,26,328,<
173,handle,pan,91,506,<
174,microwave,bowl,864,81,>
175,train,diamond,136,2,>
176,tail,elephant,175,3105,<
177,pole,table,207,614,<
178,window,house,635,10991,<
179,cat,bottle,2790,479,>
180,wood,glass,1239,525,>
181,bus,dirt,227,85,>
182,tent,mountain,50,182,<
183,t-shirt,cow,22,119,<
184,candle,couch,21,649,<
185,dog,magazine,306,51,>
186,collar,flower,77,186,<
187,paper,pencil,210,34,>
188,knife,logo,141,22,>
189,monitor,clock,200,20,>
190,window,skateboarding,4,137,<
191,sauce,noodle,52,122,<
192,toilet,bar,482,165,>
193,grain,broccoli,15,121,<
194,wii remote,guy,25,86,<
195,wire,mouth,91,16,>
196,car,plate,728,228,>
197,eye,napkin,16,143,<
198,horse,forelock,134,1,>
199,forehead,horse,15,134,<
200,onion,knife,130,377,<
201,flower,apron,37,206,<
202,blanket,ladder,40,127,<
203,shoe lace,pant,2,116,<
204,kitchen,apron,440,45,>
205,logo,rope,4,113,<
206,pillar,fence,48,157,<
207,mousepad,keyboard,63,344,<
208,chef,knife,221,42,>
209,patch,cat,263,2498,<
210,microwave,display,243,9,>
211,table,wristwatch,114,5,>
212,arrow,balcony,15,89,<
213,lamb,spot,126,7,>
214,emblem,umbrella,5,116,<
215,sticker,computer,4,277,<
216,patch,umbrella,139,596,<
217,light,dish,97,289,<
218,head rest,dog,21,102,<
219,hill,vest,111,14,>
220,glove,tire,46,198,<
221,shirt,barrier,83,426,<
222,stripe,pant,414,1261,<
223,horn,sheep,174,1675,<
224,marble,tile,165,39,>
225,board,eye,305,32,>
226,suv,light,748,145,>
227,building,face,675,127,>
228,mug,desk,58,214,<
229,baby,tooth brush,188,43,>
230,meat,sandwich,309,3082,<
231,glass,pocket,153,59,>
232,bike,skirt,198,33,>
233,kite,fish,199,64,>
234,post,barrier,25,95,<
235,lamp,house,16,167,<
236,eye,luggage,3,101,<
237,symbol,cat,8,218,<
238,letter,car,811,6492,<
239,brick,kettle,3,208,<
240,home,roof,107,19,>
241,display,pair,102,43,>
242,silver,window,89,19,>
243,bush,hole,117,16,>
244,mouth,hand,144,1053,<
245,animal,helmet,93,13,>
246,mouse,carpet,12,129,<
247,mouse,drawer,8,244,<
248,number,ship,2,114,<
249,sweater,wine,166,67,>
250,mask,pant,33,247,<
251,field,sheep grazing,179,22,>
252,cone,board,14,107,<
253,banana,apple,3939,1674,>
254,hole,head,41,122,<
255,bread,stove,37,87,<
256,tv,stand,190,81,>
257,runway,door,176,7,>
258,utensil,table,286,971,<
259,window,tarmac,55,341,<
260,bed,object,377,7,>
261,trash,frisbee,48,112,<
262,cup,lamp,63,398,<
263,paper,crate,26,74,<
264,zebra,truck,202,55,>
265,blanket,ball,143,18,>
266,vest,ear,363,15,>
267,shirt,number,3930,815,>
268,tile,steel,41,125,<
269,tire,spoke,156,33,>
270,ski,design,148,7,>
271,bulb,shirt,39,236,<
272,building,pot,255,42,>
273,light,outfit,38,153,<
274,bird,ball,119,44,>
275,mouse,computer,110,1964,<
276,wine,napkin,229,96,>
277,apron,bucket,185,45,>
278,lamp,horse,27,185,<
279,display,cake,131,16,>
280,burner,stove,97,653,<
281,brake,bike,3,158,<
282,shirt,dial,128,9,>
283,sign,tan,205,599,<
284,dish,mug,137,34,>
285,bag,dress,240,1009,<
286,coat,lamp,137,57,>
287,light,kite,113,353,<
288,bleacher,cap,112,9,>
289,sign,church,69,337,<
290,ball,dog,256,1666,<
291,toddler,arm,84,29,>
292,cat,bracelet,163,4,>
293,number,sculpture,25,168,<
294,shrub,truck,47,269,<
295,orange,rack,29,82,<
296,shirt,bow tie,574,107,>
297,story,light,138,20,>
298,bag,statue,83,201,<
299,sign,rider,44,206,<
300,tent,bottle,98,8,>
301,wave,beak,205,11,>
302,elephant,cow,219,36,>
303,couch,armrest,94,16,>
304,pair,clothing,72,266,<
305,eyebrow,orange,6,95,<
306,crane,train,63,272,<
307,bottom,jean,102,482,<
308,table,patch,278,46,>
309,hill,gravel,137,57,>
310,cat,pumpkin,239,70,>
311,towel,guy,31,131,<
312,plug,computer,14,109,<
313,vest,car,182,446,<
314,backpack,cord,99,26,>
315,jacket,flower,1349,361,>
316,meal,orange,110,2,>
317,guy,eye,986,25,>
318,toe nail,dog,0,134,<
319,dot,pant,17,143,<
320,tie,t-shirt,62,188,<
321,bracket,sign,49,465,<
322,display,handle,89,22,>
323,knife,dress,63,301,<
324,building,indicator,100,7,>
325,truck,grill,601,57,>
326,boot,house,12,94,<
327,signpost,tree,59,190,<
328,bottle,chef,0,112,<
329,spinach,sandwich,11,148,<
330,object,donut,25,229,<
331,shelf,cable,100,16,>
332,sticker,bottom,57,179,<
333,building,shrub,408,131,>
334,raft,ripple,108,33,>
335,cloth,horse,72,417,<
336,snow boarding,pant,119,8,>
337,letter,pastry,1,225,<
338,helmet,dog,132,521,<
339,vest,necklace,111,21,>
340,car,hatch,89,32,>
