,o1,o2,>,<,typical
0,drain,tile,58,628,<
1,dog,shoe,3807,504,>
2,body,house,129,27,>
3,rider,hand,123,18,>
4,foot,teddy,59,263,<
5,door,dot,145,13,>
6,mattress,table,97,23,>
7,tip,kite,4,358,<
8,crumb,sauce,17,86,<
9,cauliflower,vegetable,55,271,<
10,plane,pipe,107,7,>
11,ladder,house,47,118,<
12,drain,towel,15,368,<
13,face,bear,559,2473,<
14,cabinet,handle,2386,109,>
15,bird,spot,2327,308,>
16,meat,hotdog,6,98,<
17,plane,number,2436,85,>
18,tennis,mouth,220,2,>
19,dot,curtain,10,131,<
20,ear,crowd,9,153,<
21,logo,shoe,262,732,<
22,basket,number,141,13,>
23,label,umbrella,50,137,<
24,cat,wire,1080,257,>
25,refrigerator,stack,169,10,>
26,taxi,shirt,266,78,>
27,steeple,clock,799,150,>
28,station,shirt,145,34,>
29,bud,plant,46,119,<
30,bump,giraffe,13,182,<
31,outfit,button,116,5,>
32,clothing,light,151,45,>
33,bed,curtain,3511,1140,>
34,rock,pond,42,381,<
35,kayak,helmet,189,4,>
36,pole,rail,174,545,<
37,rope,railing,30,80,<
38,pant,snow boarding,8,119,<
39,kitten,paw,191,9,>
40,ball,racket,501,1365,<
41,t-shirt,hat,1296,335,>
42,tree,stake,112,9,>
43,marking,horse,63,587,<
44,label,door,9,181,<
45,blanket,horse,272,1485,<
46,air conditioner,sign,40,365,<
47,sofa,desk,84,32,>
48,coat,bucket,85,25,>
49,arm rest,dog,46,120,<
50,coat,spectator,33,116,<
51,tree,valley,80,208,<
52,guy,pack,155,20,>
53,window,turret,29,76,<
54,tide,surfer,104,17,>
55,doorknob,mirror,1,172,<
56,design,animal,30,89,<
57,mountain,leaf,1443,107,>
58,photograph,sign,285,43,>
59,number,flag,160,842,<
60,fridge,jar,209,31,>
61,driveway,shutter,105,1,>
62,batter,cooler,130,6,>
63,pastry,strawberry,110,16,>
64,dog,giraffe,18,118,<
65,pizza,dinner,38,133,<
66,key,glass,85,539,<
67,shed,leaf,92,25,>
68,phone,button,3763,248,>
69,glove,fan,15,144,<
70,candle,shirt,294,1893,<
71,strawberry,shirt,32,131,<
72,cup,phone,250,592,<
73,star,hat,48,151,<
74,paint,cow,25,121,<
75,spot,curtain,15,205,<
76,paper,refrigerator,24,469,<
77,plate,card,183,45,>
78,xbox,tv,6,95,<
79,control,paper,33,98,<
80,title,book,7,130,<
81,flag,ski,171,422,<
82,cable,desk,52,250,<
83,bridge,tire,179,35,>
84,boat,bow,628,76,>
85,plant,candle,253,74,>
86,vest,car,182,446,<
87,umbrella,drum,79,33,>
88,book,rack,25,87,<
89,bear,rope,253,44,>
90,bus,leaf,3682,468,>
91,tv,outlet,222,6,>
92,head,bush,180,804,<
93,trailer,pole,96,41,>
94,tail,surfer,11,97,<
95,tie,flag,187,504,<
96,squirrel,leaf,194,55,>
