,o1,o2,>,<,typical
0,bedspread,sheet,131,40,>
1,finger,frisbee,66,179,<
2,gold,dress,28,89,<
3,bang,horse,5,98,<
4,napkin,salad,46,274,<
5,light,hotel,13,99,<
6,light,controller,49,138,<
7,hand,sheep,58,364,<
8,ship,hat,109,22,>
9,number,fence,85,1576,<
10,cloth,sink,52,165,<
11,vegetable,flower,206,47,>
12,ear,pant,65,1154,<
13,room,window,219,60,>
14,target,plane,3,119,<
15,plate,pen,158,33,>
16,sugar,pastry,74,281,<
17,tongue,eye,88,32,>
18,bird,bridge,145,355,<
19,fruit,tree,294,730,<
20,ear,puppy,80,749,<
21,wave,beard,167,11,>
22,banana,nail,156,4,>
23,daisy,leaf,103,6,>
24,ear,bow,49,138,<
25,horse,band,352,4,>
26,cracker,plate,70,243,<
27,wave,necklace,158,2,>
28,dot,flower,37,145,<
29,scissors,bag,96,283,<
30,speaker,tree,20,118,<
31,ottoman,couch,45,332,<
32,person,bench,43,438,<
33,t-shirt,sandal,143,46,>
34,cheese,label,123,39,>
35,table,patch,278,46,>
36,cabbage,pepper,75,32,>
37,cat,scarf,233,23,>
38,pipe,handle,281,78,>
39,clock,dog,28,341,<
40,lace,sneaker,13,118,<
41,car,pane,102,0,>
42,tape,truck,29,71,<
43,purse,crowd,32,128,<
44,bear,cake,66,342,<
45,elephant,collar,118,2,>
46,table,ham,102,37,>
47,sign,air conditioner,365,40,>
48,roof,eye,139,4,>
49,bird,ball,119,44,>
50,plate,rib,93,22,>
51,logo,sign,421,1201,<
52,bench,fixture,120,25,>
53,powder,donut,37,148,<
54,rope,surf board,58,161,<
55,basket,umbrella,92,662,<
56,scissors,portion,86,14,>
57,bench,litter,85,15,>
58,pole,tip,205,17,>
59,event,shirt,361,37,>
60,farm,cow,167,32,>
61,surface,wheel,232,30,>
62,head rest,dog,21,102,<
63,poster,rug,57,166,<
64,vent,knob,136,4,>
65,light,sheep,111,333,<
66,baby,strap,261,22,>
67,bus,leaf,3682,468,>
68,soap,door,6,97,<
69,building,roof,3796,1053,>
70,bit,giraffe,29,89,<
71,knob,number,147,19,>
72,collar,coat,35,204,<
73,mountain,bird,1061,301,>
74,wheel,stair,46,212,<
75,pot,shelf,98,341,<
76,tv,handle,264,11,>
77,book,ball,143,23,>
78,dish,design,170,39,>
79,toe,toilet,4,108,<
